portal_url	title_raw	text_raw	mentions_disease	about_patient	title_toks	text_toks
medmon.semanticlab.net/doc/4724961944034683352/Digital-Leaders	Digital Leaders	The unpredictability and difficulties associated with MS mean it's not unusual for MSers to experience depression, stress and anxiety. An interesting article by @DigiLeaders looks at how #tech can help improve mental health. Read it here: https://t.co/OY9LPno5g9 #MentalHealth https://t.co/sWyfvkpR3u.	1	0	Digital|Leaders	The|unpredictability|and|difficulties|associated|with|MS|mean|it's|not|unusual|for|MSers|to|experience|depression|,|stress|and|anxiety|.|An|interesting|article|by|@DigiLeaders|looks|at|how|#tech|can|help|improve|mental|health|.|Read|it|here|:|https://t.co/OY9LPno5g9|#MentalHealth|https://t.co/sWyfvkpR3u|.
medmon.semanticlab.net/doc/4724866092960976703/Young-Glia-Lab	Young Glia Lab	The Menzies Multiple Sclerosis Flagship Program was established in 2017 as a flagship of the College of Health and Medicine within UTAS. It brings together significant research capacity and leaders in the field to increase the scope and impact of the research into MS.	1	0	Young|Glia|Lab	The|Menzies|Multiple|Sclerosis|Flagship|Program|was|established|in|2017|as|a|flagship|of|the|College|of|Health|and|Medicine|within|UTAS|.|It|brings|together|significant|research|capacity|and|leaders|in|the|field|to|increase|the|scope|and|impact|of|the|research|into|MS|.
medmon.semanticlab.net/doc/4724775164360161653/Francesco-Pastore	Francesco Pastore	Are you under 35 years old and are educated to post graduate level in an area relevant to multiple sclerosis? We have a big opportunity for you: The McDonald Fellowship gives you the possibility to work in a research institution outside of your country.	1	0	Francesco|Pastore	Are|you|under|35|years|old|and|are|educated|to|post|graduate|level|in|an|area|relevant|to|multiple|sclerosis|?|We|have|a|big|opportunity|for|you|:|The|McDonald|Fellowship|gives|you|the|possibility|to|work|in|a|research|institution|outside|of|your|country|.
medmon.semanticlab.net/doc/4724684721482916153/MS-Society-of-Canada	MS Society of Canada	RT @globalhalifax: The @MSSocietyCanada has formed a partnership with @CIHR_IRSC that will provide funding for cannabis & MS research. http….	1	0	MS|Society|of|Canada	RT|@globalhalifax|:|The|@MSSocietyCanada|has|formed|a|partnership|with|@CIHR_IRSC|that|will|provide|funding|for|cannabis|&|MS|research|.|http|…|.
medmon.semanticlab.net/doc/4724578543388508504/Dragana-Obradovic	Dragana Obradovic	Higher #age at #puberty associated with decreased risk of #MultipleSclerosis, but this effect appears to be largely mediated by the strong association between age at puberty and #obesity. A large causal effect of pubertal timing independent of #BMI is unlikely.	1	0	Dragana|Obradovic	Higher|#age|at|#puberty|associated|with|decreased|risk|of|#MultipleSclerosis|,|but|this|effect|appears|to|be|largely|mediated|by|the|strong|association|between|age|at|puberty|and|#obesity|.|A|large|causal|effect|of|pubertal|timing|independent|of|#BMI|is|unlikely|.
medmon.semanticlab.net/doc/4724495004861677736/Unrefined-Mettle	Unrefined Mettle	Another update on my experience with this treatment. #livingwithMS #lemtrada #MultipleSclerosis https://t.co/5hNDYAZqAf.	1	1	Unrefined|Mettle	Another|update|on|my|experience|with|this|treatment|.|#livingwithMS|#lemtrada|#MultipleSclerosis|https://t.co/5hNDYAZqAf|.
medmon.semanticlab.net/doc/4724450765758397778/MIND-over-MS	MIND over MS	04-02-2019 Women's Health in MS: Changes, Challenges and Focus https://t.co/5hCQxYbl2C #MS #MultipleSclerosis.	1	0	MIND|over|MS	04-02-|2019|Women's|Health|in|MS|:|Changes|,|Challenges|and|Focus|https://t.co/5hCQxYbl2C|#MS|#MultipleSclerosis|.
medmon.semanticlab.net/doc/4724423709489611021/Ren-Robles-Cedeo	René Robles Cedeño	A survey of risk tolerance to multiple sclerosis therapies https://t.co/r3zNIQV96r.	1	0	René|Robles|Cedeño	A|survey|of|risk|tolerance|to|multiple|sclerosis|therapies|https://t.co/r3zNIQV96r|.
medmon.semanticlab.net/doc/4724416339470043325/chefonfiyah	chefonfiyah	Did you know that #Canada has one of the highest rates of multiple sclerosis in the world? I've teamed with these brilliant minds for my next pop up dinner. A fine dining red carpet gala….	1	0	chefonfiyah	Did|you|know|that|#Canada|has|one|of|the|highest|rates|of|multiple|sclerosis|in|the|world|?|I've|teamed|with|these|brilliant|minds|for|my|next|pop|up|dinner|.|A|fine|dining|red|carpet|gala|…|.
medmon.semanticlab.net/doc/4724379474957311118/1-GoFundMe-Guru	♻️#1 GoFundMe Guru♻️	🌐 SUPPORT SHARE RETWEET 🌐 ♥. Erin's road to recovery from MS ♥️ #. S #MultipleSclerosis #Support #Donate #1GoFundMeGuru #CrowdFund #CrowdFunding @Gofundme #Gofundme #fundraising @. P. EASE SUPPORT h. tps://t.co/aSlF451x7l https://t.co/CvygIvypT2.	1	1	♻|️|#|1|GoFundMe|Guru|♻|️	🌐|SUPPORT|SHARE|RETWEET|🌐|♥|.|Erin's|road|to|recovery|from|MS|♥|️|#|.|S|#MultipleSclerosis|#Support|#Donate|#1GoFundMeGuru|#CrowdFund|#CrowdFunding|@Gofundme|#Gofundme|#fundraising|@|.|P|.|EASE|SUPPORT|h|.|tps|:/|/|t.co/aSlF451x7l|https://t.co/CvygIvypT2|.
medmon.semanticlab.net/doc/4724298370050815337/Mary-Gerdt	Mary Gerdt	Good morning MSers! What a fine morning it is here in London. Great news today for UK MSers who wish to travel by train - and it's all down to one of our https://t.co/EBTIk10Rxg members. All is revealed here: https://t.co/qOQVY8YxG7 #SmallVictory #RailTravel #MondayMotivation.	1	0	Mary|Gerdt	Good|morning|MSers|!|What|a|fine|morning|it|is|here|in|London|.|Great|news|today|for|UK|MSers|who|wish|to|travel|by|train|-|and|it's|all|down|to|one|of|our|https://t.co/EBTIk10Rxg|members|.|All|is|revealed|here|:|https://t.co/qOQVY8YxG7|#SmallVictory|#RailTravel|#MondayMotivation|.
medmon.semanticlab.net/doc/4724273795335418297/Declan-Groeger	Declan Groeger	CBD 5 -Another week older https://t.co/njgJeyAL6x via @DeclanGroeger #cbd #MS #MultipleSclerosis.	1	0	Declan|Groeger	CBD|5|-|Another|week|older|https://t.co/njgJeyAL6x|via|@DeclanGroeger|#cbd|#MS|#MultipleSclerosis|.
medmon.semanticlab.net/doc/4724234564011432246/Multiple-Sklerose	Multiple Sklerose	FDA approves new oral treatment for multiple sclerosis https://t.co/etB5m8g8Cm.	1	0	Multiple|Sklerose	FDA|approves|new|oral|treatment|for|multiple|sclerosis|https://t.co/etB5m8g8Cm|.
medmon.semanticlab.net/doc/4724232056601360330/Stephen-Bottrill	Stephen Bottrill	My Mum, the strongest, bravest lady I've ever known. Nursed my Daddy until his last breath with #MultipleSclerosis then years later died in the same room in the same way. Her strength gets me through my darkest days, days like today 💔 https://t.co/EjdzCIBOMd.	1	1	Stephen|Bottrill	My|Mum|,|the|strongest|,|bravest|lady|I've|ever|known|.|Nursed|my|Daddy|until|his|last|breath|with|#MultipleSclerosis|then|years|later|died|in|the|same|room|in|the|same|way|.|Her|strength|gets|me|through|my|darkest|days|,|days|like|today|💔|https://t.co/EjdzCIBOMd|.
medmon.semanticlab.net/doc/4724173134455064192/Medium-Ghetto	Medium Ghetto	RT @Social_Chef: Click here to support Multiple Sclerosis Medical Bills for 2019-2020 organized by Brian Scolaro https://t.co/icFuxD6YCp.	1	0	Medium|Ghetto	RT|@Social_Chef|:|Click|here|to|support|Multiple|Sclerosis|Medical|Bills|for|2019-2020|organized|by|Brian|Scolaro|https://t.co/icFuxD6YCp|.
medmon.semanticlab.net/doc/4724161168099005570/Silver-Linings-Daily	Silver Linings Daily	It is the end of #MSAwarenessMonth . I hope people are more educated then they were than last month. Just because March is over, does not mean it stops here. #mswalk #sandiego #april2019 here we come with our team! #ms #msactivist #MultipleSclerosis https://t.co/GlTwZjkJz6.	1	0	Silver|Linings|Daily	It|is|the|end|of|#MSAwarenessMonth|.|I|hope|people|are|more|educated|then|they|were|than|last|month|.|Just|because|March|is|over|,|does|not|mean|it|stops|here|.|#mswalk|#sandiego|#april2019|here|we|come|with|our|team|!|#ms|#msactivist|#MultipleSclerosis|https://t.co/GlTwZjkJz6|.
medmon.semanticlab.net/doc/4723991427629074236/Ruaara	Ruaara	Do you know the early symptoms of #MultipleSclerosis? Symptoms of MS can vary from person to person, but if you notice blurred vision, weak or stiff muscles, tingling or numbness, clumsiness or dizziness, it's time to see your doctor.	1	0	Ruaara	Do|you|know|the|early|symptoms|of|#MultipleSclerosis|?|Symptoms|of|MS|can|vary|from|person|to|person|,|but|if|you|notice|blurred|vision|,|weak|or|stiff|muscles|,|tingling|or|numbness|,|clumsiness|or|dizziness|,|it's|time|to|see|your|doctor|.
medmon.semanticlab.net/doc/4723918164297522333/thasso	thasso	New treatments for multiple sclerosis and inflammatory arthritis approved https://t.co/yjuoQIFgz5.	1	0	thasso	New|treatments|for|multiple|sclerosis|and|inflammatory|arthritis|approved|https://t.co/yjuoQIFgz5|.
medmon.semanticlab.net/doc/4723917016677631501/Martin-S.-Matko	Martin S. Matko	@Brandon_Beaber XXXXXXXxXXXXXX. Many feel and KNOW, so called Multiple Sclerosis is a Vascular mechanical issue NO drug, treatment, or Vitamin D therapy can solely rectify!	1	0	Martin|S|.|Matko	@Brandon_Beaber|XXXXXXXxXXXXXX|.|Many|feel|and|KNOW|,|so|called|Multiple|Sclerosis|is|a|Vascular|mechanical|issue|NO|drug|,|treatment|,|or|Vitamin|D|therapy|can|solely|rectify|!
medmon.semanticlab.net/doc/4723916341462519104/chuckw12	chuckw12	FDA Approves New Oral Medicine For Multiple Sclerosis - The Intellectualist https://t.co/LjeCw6nt2c.	1	0	chuckw|12	FDA|Approves|New|Oral|Medicine|For|Multiple|Sclerosis|-|The|Intellectualist|https://t.co/LjeCw6nt2c|.
medmon.semanticlab.net/doc/4723915653602404920/Custom-Orthotic	Custom Orthotic	Today more than 2,300,000 people around the world have #MultipleSclerosis. In fact, Canada has the highest rate of MS in the world. Help end MS by making a donation or participating in the #MSWalk https://t.co/1WjLkB0mD4.	1	0	Custom|Orthotic	Today|more|than|2,300|,|000|people|around|the|world|have|#MultipleSclerosis|.|In|fact|,|Canada|has|the|highest|rate|of|MS|in|the|world|.|Help|end|MS|by|making|a|donation|or|participating|in|the|#MSWalk|https://t.co/1WjLkB0mD4|.
medmon.semanticlab.net/doc/4723911986912528326/eMediaWorld-Exposure	eMediaWorld Exposure	🌐 SUPPORT SHARE RETWEET 🌐 ♥. April's Journey To Wellness ♥️ #. ultipleSclerosis #HSCT #Transplant #Help #Support #Donate #emediaworld #CrowdFund #CrowdFunding @Gofundme #Gofundme #fundraising @. P. EASE SUPPORT h. tps://t.co/LayclKfBfe https://t.co/zhkqUdwjzX.	1	1	eMediaWorld|Exposure	🌐|SUPPORT|SHARE|RETWEET|🌐|♥|.|April's|Journey|To|Wellness|♥|️|#|.|ultipleSclerosis|#HSCT|#Transplant|#Help|#Support|#Donate|#emediaworld|#CrowdFund|#CrowdFunding|@Gofundme|#Gofundme|#fundraising|@|.|P|.|EASE|SUPPORT|h|.|tps|:/|/|t.co/LayclKfBfe|https://t.co/zhkqUdwjzX|.
medmon.semanticlab.net/doc/4723911978705337138/Deedee	Deedee	This is my last #msawarenessmonth post. Tomorrow I'll be too busy. Thanks for reading and I hope at least a few of my mates have learnt some new faces. I know….	1	0	Deedee	This|is|my|last|#msawarenessmonth|post|.|Tomorrow|I'll|be|too|busy|.|Thanks|for|reading|and|I|hope|at|least|a|few|of|my|mates|have|learnt|some|new|faces|.|I|know|…|.
medmon.semanticlab.net/doc/4723910397451436439/Tia_Gladiator4Life	Tia_Gladiator4Life	Helping to bring awareness to multiple sclerosis @gma @TheDoctors #HSCT #StemCell #kissMSgoodbye.	1	0	Tia_Gladiator|4Life	Helping|to|bring|awareness|to|multiple|sclerosis|@gma|@TheDoctors|#HSCT|#StemCell|#kissMSgoodbye|.
medmon.semanticlab.net/doc/4723906557598132717/Tiffany--	Tiffany ⚫️ ⚫️	This semi sums it up. #multiplesclerosis #msawareness https://t.co/73CrYRk8j7.	1	0	Tiffany|⚫|️|⚫|️	This|semi|sums|it|up|.|#multiplesclerosis|#msawareness|https://t.co/73CrYRk8j7|.
medmon.semanticlab.net/doc/4723906557596943995/Sistahs-Connect	Sistahs Connect	Hey Sis! In Ep 3 of the Sistahs Connect Podcast, Dawn Fitch talks about being diagnosed with Multiple Sclerosis: https://t.co/YH52khhOdu https://t.co/nz7Bo5gWmV.	1	1	Sistahs|Connect	Hey|Sis|!|In|Ep|3|of|the|Sistahs|Connect|Podcast|,|Dawn|Fitch|talks|about|being|diagnosed|with|Multiple|Sclerosis|:|https://t.co/YH52khhOdu|https://t.co/nz7Bo5gWmV|.
medmon.semanticlab.net/doc/4723905856840122107/Always-Best-Care	Always Best Care	Multiple Sclerosis: Common Symptoms. #inhomeseniorcareinHobeSoundFL https://t.co/Bvu5KCgn4h.	1	0	Always|Best|Care	Multiple|Sclerosis|:|Common|Symptoms|.|#inhomeseniorcareinHobeSoundFL|https://t.co/Bvu5KCgn4h|.
medmon.semanticlab.net/doc/4723446066204822868/MS-Views-and-News	MS Views and News	Join this online feed: https://t.co/Vl7Tt5R7wh https://t.co/bsoIaC2U4L.	1	0	MS|Views|and|News	Join|this|online|feed|:|https://t.co/Vl7Tt5R7wh|https://t.co/bsoIaC2U4L|.
medmon.semanticlab.net/doc/4723901258922924168/PressReleasePoint	PressReleasePoint	https://t.co/9toDHOYpeV VA and National Multiple Sclerosis Society join forces to enhance health care services for Veterans.	1	0	PressReleasePoint	https://t.co/9toDHOYpeV|VA|and|National|Multiple|Sclerosis|Society|join|forces|to|enhance|health|care|services|for|Veterans|.
medmon.semanticlab.net/doc/4723901252633467517/Farzana_Rasab_	Farzana_Rasab_	Multiple sclerosis has a part of me. A part of my personality is controlled by the umpteen different problems I face daily. Brain Fog is one of those umpteen symptoms, I can't explain. It's like you're but not here if that makes sense. I think I need 2 write a blog on this topic.	1	1	Farzana_Rasab|_	Multiple|sclerosis|has|a|part|of|me|.|A|part|of|my|personality|is|controlled|by|the|umpteen|different|problems|I|face|daily|.|Brain|Fog|is|one|of|those|umpteen|symptoms|,|I|can't|explain|.|It's|like|you're|but|not|here|if|that|makes|sense|.|I|think|I|need|2|write|a|blog|on|this|topic|.
medmon.semanticlab.net/doc/4723900577210694145/Jeff-T-Bowles	Jeff T Bowles	"RT nutrition_facts ""Two ways in which salt may drive autoimmune diseases such as multiple sclerosis, psoriasis, type I diabetes, Sjögren's syndrome, asthma, and rheumatoid arthritis: https://t.co/MX1sDV7flK"""	1	0	Jeff|T|Bowles	"RT|nutrition_facts|""|Two|ways|in|which|salt|may|drive|autoimmune|diseases|such|as|multiple|sclerosis|,|psoriasis|,|type|I|diabetes|,|Sjögren's|syndrome|,|asthma|,|and|rheumatoid|arthritis|:|https://t.co/MX1sDV7flK|"""
medmon.semanticlab.net/doc/4723900577210245250/CW39Houston	CW39Houston	It's Multiple Sclerosis Awareness Month! https://t.co/AqLqkYWgrU https://t.co/PpEib6FUhE.	1	0	CW39Houston	It's|Multiple|Sclerosis|Awareness|Month|!|https://t.co/AqLqkYWgrU|https://t.co/PpEib6FUhE|.
medmon.semanticlab.net/doc/4723899957759829506/Help-Krys-Beat-MS!	Help Krys Beat MS!	[Image Description: Header: The Multiple Sclerosis Illusion. Below, a visual showing an iceberg with numerous MS symptoms marked above and below water. It….	1	0	Help|Krys|Beat|MS|!	[|Image|Description|:|Header|:|The|Multiple|Sclerosis|Illusion|.|Below|,|a|visual|showing|an|iceberg|with|numerous|MS|symptoms|marked|above|and|below|water|.|It|…|.
medmon.semanticlab.net/doc/4723899222561400507/2013	2013	RT luvthispayne: I'm only $45 away from reaching the $100 mark in my fundraiser for Multiple Sclerosis Awareness. I am participating in th….	1	0	2013	RT|luvthispayne|:|I'm|only|$|45|away|from|reaching|the|$|100|mark|in|my|fundraiser|for|Multiple|Sclerosis|Awareness|.|I|am|participating|in|th|…|.
medmon.semanticlab.net/doc/4723254368226383751/Fundacin-GAEM	Fundación GAEM	Vols lluir un dels mallots oficials de la #VoltaCatalunya? Ajuda'ns a lluitar contra l'#esclerosimúltiple amb un d….	1	0	Fundación|GAEM	Vols|lluir|un|dels|mallots|oficials|de|la|#VoltaCatalunya|?|Ajuda'ns|a|lluitar|contra|l|'|#esclerosimúltiple|amb|un|d|…|.
medmon.semanticlab.net/doc/4723896311330666924/Redtail-Vision	Redtail Vision	March is Multiple Sclerosis Month. So I have replaced my normal pinned tweet in tribute to the many people who fight this disease. Y'all are special warriors!	1	0	Redtail|Vision	March|is|Multiple|Sclerosis|Month|.|So|I|have|replaced|my|normal|pinned|tweet|in|tribute|to|the|many|people|who|fight|this|disease|.|Y'all|are|special|warriors|!
medmon.semanticlab.net/doc/4723888363455062293/Sal-Alejandro	Saúl Alejandro	In 2008 I was diagnosed with multiple sclerosis and it has caused many difficulties in my life, but despite this, I have been able to stay strong and smile 😃 #PersonaChallenge https://t.co/AwTksHw30f.	1	1	Saúl|Alejandro	In|2008|I|was|diagnosed|with|multiple|sclerosis|and|it|has|caused|many|difficulties|in|my|life|,|but|despite|this|,|I|have|been|able|to|stay|strong|and|smile|😃|#PersonaChallenge|https://t.co/AwTksHw30f|.
medmon.semanticlab.net/doc/4723491865211871232/ISGlendale	ISGlendale	"""Multiple sclerosis may be a part of who you are, but it doesn't define you."" Every day, people do whatever it takes to move their lives forward despite MS. Explore some powerful stories here- https://t.co/1fxKe9kKi2. #ThisIsMS #MS #Glendale https://t.co/3daPgTqFOY."	1	0	ISGlendale	"""|Multiple|sclerosis|may|be|a|part|of|who|you|are|,|but|it|doesn't|define|you|.|""|Every|day|,|people|do|whatever|it|takes|to|move|their|lives|forward|despite|MS|.|Explore|some|powerful|stories|here|-|https://t.co/1fxKe9kKi2|.|#ThisIsMS|#MS|#Glendale|https://t.co/3daPgTqFOY|."
medmon.semanticlab.net/doc/4723155084761442815/Jameson-Reeves	Jameson Reeves	RT @theflynews: Osmotica sinks 40% after multiple sclerosis drug fails to beat placebo $OSMT https://t.co/yYBDGqoi85.	1	0	Jameson|Reeves	RT|@theflynews|:|Osmotica|sinks|40|%|after|multiple|sclerosis|drug|fails|to|beat|placebo|$|OSMT|https://t.co/yYBDGqoi85|.
medmon.semanticlab.net/doc/4722873966658046966/CCSVI-nella-SCLEROSI	CCSVI nella SCLEROSI	"#MultipleSclerosis: ""May symptoms of chronic cerebrospinal #venous insufficiency be improved by venous #angioplasty? An independent 4-year follow up on 366 cases"" Published: Oct 2, 2015: ""significantly good results in the RR group"" https://t.co/1XApoTEND0 #CCSVI #SclerosiMultipla."	1	0	CCSVI|nella|SCLEROSI	"#MultipleSclerosis|:|""|May|symptoms|of|chronic|cerebrospinal|#venous|insufficiency|be|improved|by|venous|#angioplasty|?|An|independent|4|-|year|follow|up|on|366|cases|""|Published|:|Oct|2|,|2015|:|""|significantly|good|results|in|the|RR|group|""|https://t.co/1XApoTEND0|#CCSVI|#SclerosiMultipla|."
medmon.semanticlab.net/doc/4722861678321819581/painmanwise	painmanwise	Non-pharmacological interventions for chronic pain in multiple sclerosis.	1	0	painmanwise	Non-pharmacological|interventions|for|chronic|pain|in|multiple|sclerosis|.
medmon.semanticlab.net/doc/4722832185816543632/BibliotecaHUVH.	BibliotecaHUVH.	Does attendance at the ECTRIMS congress impact on therapeutic decisions in multiple sclerosis care? https://t.co/8QAhZRymaL #hvhebron #neuro @MSJ_Research [Text complet].	1	0	BibliotecaHUVH|.	Does|attendance|at|the|ECTRIMS|congress|impact|on|therapeutic|decisions|in|multiple|sclerosis|care|?|https://t.co/8QAhZRymaL|#hvhebron|#neuro|@MSJ_Research|[|Text|complet|]|.
medmon.semanticlab.net/doc/4722758455345307610/Ingentium-Multiple-Sclerosis	Ingentium Multiple Sclerosis	Quantitative Ultrasound Imaging to Assess Skeletal Muscles in Adults with #multiplesclerosis: A Feasibility Study.	1	0	Ingentium|Multiple|Sclerosis	Quantitative|Ultrasound|Imaging|to|Assess|Skeletal|Muscles|in|Adults|with|#multiplesclerosis|:|A|Feasibility|Study|.
medmon.semanticlab.net/doc/4722755997649423311/Isabel-Mascareas	Isabel Mascareñas	RT @10NewsWTSP: FDA approves new drug to treat multiple sclerosis https://t.co/9M3npLfS1D https://t.co/vSNfaJoOGz.	1	0	Isabel|Mascareñas	RT|@10NewsWTSP|:|FDA|approves|new|drug|to|treat|multiple|sclerosis|https://t.co/9M3npLfS1D|https://t.co/vSNfaJoOGz|.
medmon.semanticlab.net/doc/4722728962953957037/Power-Not-Pity	Power Not Pity	A1. Hi I'm Bri, podcaster and political agitator. I live w/ #MultipleSclerosis and I love interrupting conversations to talk abt disability justice lol #SpoonieChat.	1	1	Power|Not|Pity	A1|.|Hi|I'm|Bri|,|podcaster|and|political|agitator|.|I|live|w|/|#MultipleSclerosis|and|I|love|interrupting|conversations|to|talk|abt|disability|justice|lol|#SpoonieChat|.
