portal_url	text_raw	span_1	confidence_1	about_1	span_2	confidence_2	about_2	span_3	confidence_3	about_3	span_4	confidence_4	about_4	span_5	confidence_5	about_5	span_6	confidence_6	about_6	span_7	confidence_7	about_7	span_8	confidence_8	about_8	span_9	confidence_9	about_9	span_10	confidence_10	about_10	span_11	confidence_11	about_11	span_12	confidence_12	about_12	span_13	confidence_13	about_13	span_14	confidence_14	about_14	span_15	confidence_15	about_15	span_16	confidence_16	about_16	span_17	confidence_17	about_17	span_18	confidence_18	about_18	span_19	confidence_19	about_19	span_20	confidence_20	about_20	span_21	confidence_21	about_21	span_22	confidence_22	about_22	span_23	confidence_23	about_23	span_24	confidence_24	about_24	span_25	confidence_25	about_25	span_26	confidence_26	about_26	span_27	confidence_27	about_27	span_28	confidence_28	about_28	span_29	confidence_29	about_29
medmon.semanticlab.net/doc/4722117989345551941/is-a-spinal-tap-needed-to-diagnose-MS?---Multiple-Sclerosis---MedHelp	"is a spinal tap needed to diagnose MS? - Multiple Sclerosis - MedHelp. Hi, and welcome to the MS Forum. I hope we can help with some of your questions. The main ?? is whether or not a spinal tap is needed for a diagnosis of MS. the easy answer is ""no"", but that doesn't tell the whole story. There is no requirement in all of the criteria for diagnosing MS that one must have an LP (Lumbar Puncture or spinal tap). However, a tap may be very useful to add evidence to the picture that MS might be responsible for a person's problems IF it is positive (for O-Bands or for an elevated IgG Index). Where many neurologists become confused in what to think if the LP is negative. If it is negative IT DOES NOT RULE OUT MS. Again, it is incorrect to rule out MS as the diagnosis if the LP is negative. When you say you had R-sided pain, did you mean in your abdomen? Did the GI work up rule out Celiac Disease? This can be an elusive thing to find and can cause neurologic symptoms. I also assume you had blood tests for ESR, ANA, B12, Lyme Disease, HIV, VDRL, ACE, Anti-Phospholipid and anti-cardiolipin, plus several more? The process of diagnosing MS goes something like this:. 1) The neurologist looks for a pattern of symptoms where first there is an onset of symptoms consistent with demyelination in the central nervous system. The most common demyelinating disease is, by far, MS. They look for repeated attacks, which after time improve or go away. Then, for any subsequent attack. If they have this Attack-Improvement or Relapse-Remitting pattern the suspicion for MS rises. If there is only one attack, they can be suspicious, but they will want much more evidence. 2) The next thing that is required is a completely thorough, head-to-toe neuro exam and they look for evidence of damage to the central nervous system (CNS) in two or more places. Do you have any abnormalities on your exam - like hyperactive reflexes,abnormal eye exam, altered sensation (especially from one side to the other), and such? This would include the new tremor in your thumb. 3) Usually the next thing would be an MRI of the brain and, many experts believe that an MRI of the spine should be included - the cervical spinal cord at least. If the MRI is abnormal in a way that is consistent with MS, then with the pattern of two or more attacks and two or more distinct places in the CNS, then there is actually enough information to diagnose MS --->>. 4) IF all the other things known to cause neurologic problems like this are ruled out, like autoimmune diseases, Vit12 deficiency, infections, cancer, and such. MS cannot be diagnosed until a full ""rule-out"" has been done. Most of this is by blood work. Now, MS also frequently causes lesions in the spinal cord. If your neurologist wants to do an LP because he needs more evidence, it would make most sense to do the spinal cord MRI next because it can supply the needed evidence to make the diagnosis sometimes and it is recommended to do this if the evidence from the history and physical and the brain MRI are not enough. Also, since you have had visual problems, it makes sense to have you be seen by a neuro-ophthalmologist to be work up for optic neuritis. This would typically be done by first an eye exam. If the eye exam showed signs of optic neuritis such as paleness of the optic disc at the back of the eye (when they look deep inside) or by defects in your visual field, then this is another big piece of info that would point toward MS and make an LP less necessary. If the eye exam was normal, you still could have had optic neuritis, because the exam is normal in 64% of people who have had optic neuritis. Then you would want to have a VEP - Visual Evoked Potential - to look for the signs of optic neuritis in another way. So, two tests that you didn't mention would be the spinal cord MRI and a VEP to look for more evidence of MS. If those didn't provide the evidence needed for a diagnosis, then a spinal tap (LP) would be recommended. Now, some neurologists insist on an LP for everyone, but that is not actually required. Do you have the report of the MRI? This can be useful to have to see exactly what they said about the lesions in the white matter. Foci = spots, or lesions. Too many neurologists expect the MRI to be absolutely classic for MS, when all it has to be is consistent. Now, I have a couple more questions. What was your pattern of symptoms as they developed? Have any improved? Did you have any period where things seemed better? What was your neuro exam like? Was your ESR elevated? Have you had any joint pain or arthritis? Well, I have gone on and on. The main point here is that MS is a little sticky to diagnose. The docs have to look at a lot of things and their patterns. And, there may be a couple more non-invasive things to do before an LP is necessary. However, I would advise you to have the LP if the doc really needs the evidence. I hope this helps. I am one of the forum's co-leaders and before being disabled by MS I practiced medicine for 23 years. Others will be by soon to add their hello's and advice and support. Quix, MD."																																																																																							
medmon.semanticlab.net/doc/4702815046749225822/Activity-Feed---MS-Connection	"My journey began in November 2009. I had been having a lot of aches and stiffness in my neck one day during work. When I got home, I took an anti-inflammatory and muscle relaxer, took a hot shower, and went to bed. The next morning, I felt drunk. I almost fell down my stairs, and could not walk straight. I was embarrassed when I stopped at the gas station, because I was stumbling everywhere on the sidewalk walking to my car, I knew people were looking at me. By the time I got to work that morning, I knew something was not right with me. My co-workers agreed something wasn't right, and someone drove me to the hospital. As I sat in the exam room in the ER, I just figured I was having some kind of reaction to the medication I had taken for my neck the night before. The doctor ordered a CAT scan and ran some lab work. I will never forget those moments that followed. The doctor came into the room after I had my tests done. He shut the door behind him, walked over to me carrying my file, and he sat down on the table next to me. He said, ""I don't have good news. There appears to be lesions on your brain and spinal cord. More than likely, you have Multiple Sclerosis."" At that time, I didn't know what MS was. I was terrified. This was my life-changing moment. I went and saw a neurologist a week later. He ordered an MRI and spinal tap. Diagnosis of RRMS confirmed: November 2009, Age 22. I was put on Copaxone and Solu-Medrol IV treatments right away. The steroids helped tremendously. I continued the Copaxone up until last year, I couldn't stand the pain every night anymore. So, I am hoping to start a different form of treatment in the near future."	"1392,1398"	3	"patient, speaker"																																																																																				
medmon.semanticlab.net/doc/4722984331327960455/MS-Ireland--::-Helping-Everyone-Affected-by-Multiple-Sclerosis	"MS Ireland  ::. Helping Everyone Affected by Multiple Sclerosis. Christina's MS Story. Tuesday March 26 2019 10:00 AM. Last year I took on the challenge of the VHI Women’s Mini Marathon for Multiple Sclerosis Ireland and I can’t wait to take part again this year. I was diagnosed with MS in 2016, age 26. I went to bed one night, followed my normal bedtime routine and nothing seemed out of the ordinary. The next day I woke up and I experienced my first MS attack; my whole life changed in an instant. I couldn’t control my body movements. I was paralyzed down the left side of my body and it wouldn’t move the way I wanted it to. It would even make strange movements without my permission. Long story short, I had lesions on the part of my brain that controls my voluntary body movements. This impacted my mobility and I was quickly diagnosed with MS. When you go from being healthy one day and waking up the next not being able to move your body properly, you really do re-evaluate everything. I have experienced what it’s like to lose something that I took for granted, like walking across the room or walking down the street; now I try to make sure I never take anything for granted again. I face challenges with my MS on a daily basis. Fatigue is a big symptom and it can get in the way of training and exercising. Even at the Mini Marathon you can face struggles, especially on a warm day. Last year I saw a women taking part in the Mini Marathon in full army gear. I told my friends that’s what MS is like for me! You feel like you have weights attached to your arms and legs, and I carry that around with me everywhere! Taking part in the Mini Marathon means a lot of different things to me. It makes me feel proud of myself and is a way for me to celebrate my ability to be lucky enough to jog it. I am in remission, so I will make the most of it and that’s why I love taking part. I am not wasting the opportunity because one day I may not be given that luxury. I focus on the here and now, and now I am doing well, so I will jog it and if I can’t jog it, I will walk it!! The VHI Women’s Mini Marathon can be tough and of course there are struggles, but I can’t even describe how rewarding, proud, emotional and happy you feel when you have completed the race. I cannot wait to do it again for MS Ireland this year, to represent all my fellow MSer’s and stand alongside all the other women ready to begin the race for a charity they hold close to their hearts. It really is a beautiful feeling. To join Christina and Team MS Ireland sign up today by visiting. Get in touch. You can contact MS Ireland by calling 01 678 1622; email fundraising@ms-society.ie or sign up online for you pack. Author: Christina McDonald."	"297,303"	3	"speaker, patient"																																																																																				
medmon.semanticlab.net/doc/4722811806552853751/What-is-the-Modified-Fatigue-Impact-Scale?	"The Modified Fatigue Impact Scale (MFIS) is a tool that doctors use to evaluate how fatigue affects someone’s life. Fatigue is a common and often frustrating symptom for up to 80 percent of people with multiple sclerosis (MS) . Some people with MS find it hard to accurately describe their MS-related fatigue to their doctor. Others have difficulty communicating the full effect that fatigue has on their daily life. The MFIS involves answering or evaluating a series of questions or statements about your physical, cognitive, and psychosocial health. It’s a quick process that can go a long way toward helping your doctor fully understand how fatigue affects you. This makes it easier to come up with an effective plan for managing it. Read on to learn more about the MFIS, including the questions it covers and how it’s scored. How is the test administered? The MFIS is generally presented as a 21-item questionnaire, but there’s also a 5-question version. Most people fill it out on their own in a doctor’s office. Expect to spend anywhere from five to ten minutes circling your answers. If you have vision problems or trouble writing, ask to go through the questionnaire orally. Your doctor or someone else in the office can read off the questions and note your answers. Don’t hesitate to ask for clarification if you don’t fully understand any of the questions. What are the questions? Simply saying you’re fatigued usually doesn’t convey the reality of how you’re feeling. That’s why the MFIS questionnaire addresses several aspects of your daily life to paint a more complete picture. Some of the statements focus on physical abilities:. * I have been clumsy and uncoordinated. * My muscles feel weak . Some statements address cognitive matters, such as memory, concentration, and decision-making:. Other statements reflect psychosocial aspects of your health, which refers to your moods, feelings, relationships, and coping strategies. Examples include:. * I have been less motivated to participate in social activities . You can find the full list of questions here . You’ll be asked to describe how strongly each statement reflects your experiences in the last four weeks. All you have to do is circle one of these options on a scale of 0 to 4:. Article Provided by: #MSViewsandNews. :::::::."																																																																																							
medmon.semanticlab.net/doc/4722066779456934647/How-to-MS-Like-a-Boss---MS-Connection	"How do you MS like a boss?! How do you “own it?”. How do you feel more self-empowered with MS? I was super inspired by the recent actions of ultimate-MS-boss Selma Blair beautifully displaying herself on the red carpet at the vanity fair Oscar party for the first time since her multiple sclerosis diagnosis. She stood poised for photos looking proud with her head held high and personalized cane outstretched, powerfully “throwing” her Ralph & Russo gown outwards for a dramatic photographic look. She discussed how you “shouldn’t have to sacrifice style” when you have MS, and the actress announced she is also making an accessible fashion line. In case you missed her Good Morning America interview a few weeks ago, I strongly urge you to . Selma was incredibly brave doing this interview, but doing the interview whilst she was also having a flare up where she was suffering from spasmodic dysphonia—meaning she was struggling to talk? That’s positively boss like. Being in the public eye and coming out in an interview that is so honest and transparent is a very brave thing for a celebrity to do. Can you imagine broadcasting to the world about your innermost personal symptoms? How scary must that have been for her? I've seen many people online say, “well it’s ok for her, but what about the rest of us that deal with this everyday? We don’t get special treatment or attention.” To those people I would say, see the bigger picture of what this means for MS and for her as an actress! She doesn’t have to just announce it to work colleagues, friends and family like we do she has to announce it to the world . Everybody in her world will be treating her differently now. She’ll be getting letters and messages from fans on a daily basis wanting to tell her about their diagnosis story. It may affect any future acting roles she gets as an actress because directors may think twice about casting her and worried she won’t be up to the job. She may even lose jobs. The most important thing that will happen now that Selma has bravely raised awareness of her condition is that the general public will now understand more about what MS is and how it affects us. Celebrities have the power to influence the general public and by sharing her story in this way she has done a very powerful thing. All those times we were told that MS wasn’t a real condition? I would hope that becomes a thing of the past. All those times doctors and neuro’s have said “it’s all in your head” (which, ironically, it actually is!), I imagine patients would be taken more seriously. So, is it a good thing that Selma Blair came out about her diagnosis? HELL YES ! She’s helping to change the worlds perception of MS. She has the ultimate platform for influence, and she’s using it for good, so let’s celebrate her for bringing MS into the mainstream media. And let’s certainly celebrate her for making an accessible clothing line because these celebrities are the only ones changing disability for the better. How do you feel about Selma’s diagnosis? Should celebrities highlight their health conditions? Comment your thoughts below and if you’ve enjoyed reading this don’t forget to click the heart to show your appreciation. "																																																																																							
medmon.semanticlab.net/doc/4720987995029541919/The-epitope-spreading-cascade-during-progression-of-experimental-autoimmune-encephalomyelitis-and-multiple-sclerosis.---Multiple-Sclerosis-Discovery-Forum	"The epitope spreading cascade during progression of experimental autoimmune encephalomyelitis and multiple sclerosis. - Multiple Sclerosis Discovery Forum. Tuohy VK, Yu M, Yin L, Kawczak JA, Johnson JM, Mathisen PM, Weinstock-Guttman B, Kinkel RP. Immunol Rev . 1998 Aug; 164:93-100. PMID: 9795767."																																																																																							
medmon.semanticlab.net/doc/4720974445672021211/MS-Ireland--::-Helping-Everyone-Affected-by-Multiple-Sclerosis	"MS Ireland  ::. Helping Everyone Affected by Multiple Sclerosis. MS and Holidays. This week Niamh McCarron shares with us her pre-holiday preparation plan. Whether it is a room with a fridge, a great day trip or making it through security with medication intact, she has the tips on how to get your great escape in a calm, prepared way. Seven tips for holiday heaven. Since disc... Published by Niamh McCarron on Thursday July 06 2017 11:00 AM. email 2 comments."																																																																																							
medmon.semanticlab.net/doc/4720198485280074905/The-Heat-Effect-in-the-Winter	"While I was driving down my driveway, this golden tree was so beautiful that I stopped and took a picture of it...... well the beauty was better in person! I love the seasons changing but getting used to a cooler season is rough! I bundle up since I am freezing then that causes my legs to start spasming, cramping....(spasticity) until I change to cooler clothes! It took me Foerever to figure that out in the cold weather!...... my word of advice to MSers is to watch out for the heat (causing weakness and pain) even in the winter time! I hope all enjoy watching the beauty of these changing seasons! "																																																																																							
medmon.semanticlab.net/doc/4720171666043366202/MS-Ireland--::-Helping-Everyone-Affected-by-Multiple-Sclerosis	"MS Ireland  ::. Helping Everyone Affected by Multiple Sclerosis. Physiotherapy Class for People with MS. Payment to be made on the first class of a new block of classes to a designated MS Ireland representative. If sending a cheque please make it payable to The MS Society of Ireland and post to: The MS Society of Ireland, North East Regional Office, Enterprise Centre Unit 8, Dublin Road, Castleblayney, Co. Do not post cash. Wear loose comfortable. Remember to allow sufficient time for parking and arrive at the class on time so that class can begin promptly with no disturbances. If you are going to be unavoidably late please advise the physiotherapist in advance. If you have any queries regarding classes contact your Community Worker."																																																																																							
medmon.semanticlab.net/doc/4681614041079213635/Correlates-of-Executive-Functions-in-Multiple-Sclerosis-Based-on-Structural-and-Functional-MR-Imaging:-Insights-from-a-Multicenter-Study.---Multiple-Sclerosis-Discovery-Forum	"Correlates of Executive Functions in Multiple Sclerosis Based on Structural and Functional MR Imaging: Insights from a Multicenter Study. - Multiple Sclerosis Discovery Forum. Koini M, Filippi M, Rocca MA, Yousry T, Ciccarelli O, Tedeschi G, Gallo A, Ropele S, Valsasina P, Riccitelli G, et al. Radiology . 2016 Mar 22:151809. PMID: 27002420."																																																																																							
medmon.semanticlab.net/doc/4719884424737970356/MS-Ireland--::-Helping-Everyone-Affected-by-Multiple-Sclerosis	MS Ireland  ::. Helping Everyone Affected by Multiple Sclerosis. What's hot. Women's Mini Marathon. Join our MS Squad for the Vhi Women's Mini Marathon on June 2nd and help us raise essential funds for our support services across Ireland. Sign up early to make sure you’re in! Find out more. » Our next Event. 19 March 2019: Coffee Mornings / Information Sharing Sessions with Citizens Information Centre for people with MS and their fami... View all events. If you'd like to receive e-news updates from The Society please enter your email address below. If you want to know more about how we manage personal data then please see our privacy policy .																																																																																							
