portal_url	title_raw	text_raw	mentions_disease	about_patient
medmon.semanticlab.net/doc/4723897388703471078/Liam-Boyd	Liam Boyd	Afghan's most injured war veteran Ben Parkinson leaves the Army today after almost 20 years loyal service. He's left an incredible mark @pilgrimscharity https://t.co/v0YJB4yV3g. 	0	0
medmon.semanticlab.net/doc/4723896718361879548/libertynews	libertynews	RT @DanielJDrucker: Sniffing out #Parkinsons Disease via sebum spectrometry @TheEconomist https://t.co/2JNlM9FeCl. 	1	0
medmon.semanticlab.net/doc/4723896294720504574/Mental-Floss	Mental Floss	A Simple Skin Swab Could Soon Identify People at Risk for Parkinson's — https://t.co/E1ZUaIr3QW https://t.co/P458NF8WcR. 	1	0
medmon.semanticlab.net/doc/4723818925542117064/Ingentium-Parkinson's-Disease	Ingentium Parkinson's Disease	Researchers find link between herbicides, Parkinson's https://t.co/XNzHc5IJtc https://t.co/6RbYF15BlP. 	1	0
medmon.semanticlab.net/doc/4723491863926243276/OutThinkParkinsons	OutThinkParkinsons	RT @OutThinkingPD: Accessing Whole Body Movement in Parkinson's Disease with a Basketball https://t.co/EAdbHHTh7I #movementdisorder. 	1	0
medmon.semanticlab.net/doc/4722905916523676800/Carly-Says	Carly Says	RT @OutThinkingPD: Diet and Nutrition in Parkinson's Disease https://t.co/jEqqvJ02vq #nutrition. 	1	0
medmon.semanticlab.net/doc/4722898543404526098/Shalom-Maria	Shalom Maria	Inbox: @RepJoseSerrano says he has been diagnosed with Parkinson's disease, and won't be seeking re-election in 2020. Serrano says he's proud to continue leading the House Commerce, Justice, and Science Appropriations Subcommittee until then. 	1	1
medmon.semanticlab.net/doc/4722689639807857303/oliLince	oliLince	RT @OutThinkingPD: Music and Dance Therapy for Parkinson's Disease https://t.co/ZbilmrdoEN #parkinsons. 	1	0
medmon.semanticlab.net/doc/4722500397463864378/Tim-Rogers	Tim Rogers	Yes, believe the hype! Major Parkinson are an excellent live band both sonically and visually. If you can get to the London gig, please do. Music like this should be supported. Show them some love and that love WILL be repaid tenfold. 	0	0
medmon.semanticlab.net/doc/4722330817557217259/Carl-Anthony-Petts	Carl Anthony Petts	Lives are ruined by shame and stigma. LGBT lessons in schools are vital |. Hannah Jane Parkinson |. The Guardian https://t.co/REM84OWgtm. 	0	0
medmon.semanticlab.net/doc/4722259545377925922/Parkinson's-UK	Parkinson's UK	Researchers need both people with and without #Parkinsons to take part in research - from home questionnaires to trialling new treatments. You can make a difference by taking part: https://t.co/JrgjqKFgUo #CharityTuesday https://t.co/KNQ4x4ZNTN. 	1	0
medmon.semanticlab.net/doc/4722217764642395453/OutThinkParkinsons	OutThinkParkinsons	Progressive Reduction in Symptoms of Parkinson's Disease https://t.co/2H1iBvDgvs #parkinsons. 	1	0
medmon.semanticlab.net/doc/4722215307110606599/ipropertiesafrica	ipropertiesafrica	Parkinson's law states that expenditures rise to meet income. As you earn more money, your needs increase and you end up spending more money. Therefore, in order to succeed financially, you need to break Parkinson's law when it comes to money.#climatechangeke https://t.co/mBxlGjHI3I. 	0	0
medmon.semanticlab.net/doc/4722203018189898686/WolvesCarers	WolvesCarers	Here today at the Parkinson's support group to offer information and Support to family carers @CommunityOffer https://t.co/4Sizai3PxY. 	0	0
medmon.semanticlab.net/doc/4722072760350597941/Kevin-Bywater	Kevin Bywater	@ems_lawton @DaveClarkTV My 2 inspirations together hope you had a great day guys !!'. 	0	0
medmon.semanticlab.net/doc/4722050641754047944/Dr.-Zoidberg	Dr. Zoidberg	'Super-smeller' helps develop swab test for Parkinson's disease https://t.co/mOmDpsRSMO. 	1	0
medmon.semanticlab.net/doc/4721927752871261252/Espace-beaux-arts	Espace beaux arts	José E. Serrano says he has Parkinson's, won't run again https://t.co/L4wkDt3XiS. 	1	1
medmon.semanticlab.net/doc/4721925299209757852/Jenkers-News---ENG	Jenkers News - ENG	#Jose #Serrano to retire at term's end, cites #Parkinson's https://t.co/yssnL9rKij. 	0	0
medmon.semanticlab.net/doc/4721900721840069053/Nick-Reisman	Nick Reisman	@SeanMcElwee (he's retiring after being diagnosed with Parkinson's). 	1	1
medmon.semanticlab.net/doc/4721898263976075833/Eli	Eli	RT @SenhorRaposa: Serrano reveals that he has Parkinson's. 	1	1
medmon.semanticlab.net/doc/4721829450314742827/Teri-Smith	Teri Smith	I don't think Hillary Clinton will flee USA. But she may fake a major illness to elicit sympathy. Advanced Parkinson's maybe. She'll make herself look worse than ever & whatever disease she fakes she'll never reminding us of it by doing a lot of shaking & swaying in public. 	0	0
medmon.semanticlab.net/doc/4721458339057693028/Gary-Sharpe	Gary Sharpe	REBOUNDING (MINI-TRAMPOLINING) & PARKINSON'S DISEASE: https://t.co/J8xG4eEMZe #blogger. 	1	0
medmon.semanticlab.net/doc/4721411642042693037/Tom123	Tom123	RT @MichaelJFoxOrg: A study published this summer sheds new light on how #diabetes affects #Parkinsons disease risk. 	1	0
medmon.semanticlab.net/doc/4721401813221259567/Chancesmom	Chancesmom	RT @HeyTammyBruce: Parkinson's gene therapy may reduce medicine required for treatment https://t.co/9tCBiS7dFL. 	1	0
medmon.semanticlab.net/doc/4721364946847586470/CAESBK	C(AESB)K	A mother pushes her baby in a pram past a curious pony, 1959 - by Norman Parkinson (1913 - 1990), UK. 	0	0
medmon.semanticlab.net/doc/4721335455128299933/kpb	kpb	I don't think Hillary Clinton will flee USA. But she may fake a major illness to elicit sympathy. Advanced Parkinson's maybe. She'll make herself look worse than ever & whatever disease she fakes she'll never reminding us of it by doing a lot of shaking & swaying in public. 	0	0
medmon.semanticlab.net/doc/4721244520584678270/Laurie	Laurie	I don't think Hillary Clinton will flee USA. But she may fake a major illness to elicit sympathy. Advanced Parkinson's maybe. She'll make herself look worse than ever & whatever disease she fakes she'll never reminding us of it by doing a lot of shaking & swaying in public. 	0	0
medmon.semanticlab.net/doc/4721229774975061287/Author-Alliance	Author Alliance	Lewy Body Dementia (2019 Edition). Dementia with Lewy Bodies (DLB) |. Parkinson's Disease Dementia (PDD). @BellerHealth #Alzheimers #dementia #Alzheimer #Seniors #aging #Nonfiction #newbook #newbooks #NewReleases @JerryBeller1 https://t.co/URAGXiGbvR. 	0	0
medmon.semanticlab.net/doc/4721212571317673316/Future-Monger	Future Monger	Digital Management of Parkinson Disease: Is Technology the Future? 	1	0
medmon.semanticlab.net/doc/4721160977884424447/Parkinson-Fit	Parkinson Fit	#Parkinsons Weekly Update (2/2) - Things we hate: buttons & squishy water bottles; I love the smell of Parkinson’s in the morning; more intermittent fasting; plus inspiring stories from Parkinson’s Disease exercise programs. 	1	1
medmon.semanticlab.net/doc/4721133923516377558/Burton-Joyce-CC	Burton Joyce CC	RT @BurtonJoyceFC: We’re so proud of this bunch led by the fantastic Parkinson family. #greenmachine #BJFC https://t.co/j60YuW5NvI. 	0	0
medmon.semanticlab.net/doc/4720981548405636479/..	..	seeing michael j. fox go from energetic marty mcfly to having parkinson's is hard to watch. 	1	0
medmon.semanticlab.net/doc/4720870988789335359/Jolyon-Hallows	Jolyon Hallows	One treatment type for #Parkinsons patients is hydrotherapy--exercising in water. A benefit is that it eliminates the fear of falling. Some studies don't show significant results, but others are more positive. It's one more therapeutic tool. 	1	0
medmon.semanticlab.net/doc/4720845422295416957/Matt-Eagles	Matt Eagles	@DrHilaryJones can I introduce you to @PKYLIFE the brighter side to living with #Parkinsons ! 	1	0
medmon.semanticlab.net/doc/4720840303004693112/Lorelei--	Lorelei  ♀️	RT @CantLogOff: bitches be spending money on vibrators like they grandfather don’t got parkinsons. 	0	0
medmon.semanticlab.net/doc/4720827483170327385/Parkinson's-Facts	Parkinson's Facts	How to slow down #Parkinson's progress and reduce the severity of symptoms https://t.co/lN4s0dazp9 #ParkinsonDisease. 	1	0
medmon.semanticlab.net/doc/4720825033187856417/HealthEconFrontier	HealthEconFrontier	Medical News Today: Manganese and Parkinson's: Mechanism may explain link https://t.co/LuM4b9vjo6 https://t.co/Z6NQKy4F73. 	1	0
medmon.semanticlab.net/doc/4720704535990670543/Gary-Sharpe	Gary Sharpe	Diminished Aliveness and Parkinson's Disease https://t.co/jhf0CJA6vk #wellbeing. 	1	0
medmon.semanticlab.net/doc/4720581652625817903/Cannabis-Video	Cannabis Video	Medical Marijuana and Parkinson's Part 2 of 3 - https://t.co/LHICv6aMnu. 	1	0
medmon.semanticlab.net/doc/4720552159859321052/Rolo-Rolo	Rolo Rolo	Hey everyone, I'm participating in this year's Parkinson's Foundation Moving Day and I've pledged to raise $1000. Please consider donating by clicking on the link below. 	0	0
medmon.semanticlab.net/doc/4720522668020391800/Michael-A.-Colbach	Michael A. Colbach	"Had a customer in this morning - an older gentleman, with an Ebike. He said, ""I've got Parkinson's you know, but when I get on my bike, I don't have Parkinson's any more."" That's freedom. Not much more to say really. "	1	1
medmon.semanticlab.net/doc/4720490717545995162/Gorey-Chamber-of-Commerce	Gorey Chamber of Commerce	Join us for WorkMatters Startup Meetup on Tues 2 April in Gorey Library at 7.00pm. Deirdre Parkinson, Marketing & Sales Manager, Microfinance Ireland will explain how her org is: “Helping small businesses to start up & succeed.” #WorkMatters #startup @DearbhlaAine @wexlibraries https://t.co/TdPciROmWJ. 	0	0
medmon.semanticlab.net/doc/4720362918062532163/Angiy-Michael-RN	Angiy Michael RN	Looking forward to hearing more about this #Parkinsons research on @BBCBreakfast this morning - @SalfordRoyalNHS consultant Monty Silverdale is one of the team working on this |. Parkinson's smell test explained by science https://t.co/iXXp5Btust https://t.co/F3qtofNblk. 	1	0
medmon.semanticlab.net/doc/4720338340609990755/Senior-HealthMag	Senior HealthMag	Senior &gt; New drugs on PBS for Parkinson's, MND and Cutaneous T c... https://t.co/86crhMOI7p #senior. 	1	0
medmon.semanticlab.net/doc/4720308848555205002/Shi	Shi	'Super Smeller': Grandma helps researchers identify Parkinson's odour. 	1	0
medmon.semanticlab.net/doc/4720296560406732116/kar-nels	kar nels	"Had a customer in this morning - an older gentleman, with an Ebike. He said, ""I've got Parkinson's you know, but when I get on my bike, I don't have Parkinson's any more."" That's freedom. Not much more to say really. "	1	1
medmon.semanticlab.net/doc/4720264609686867552/Tim-Leiner	Tim Leiner	Characterization of the Handwriting Skills as a Biomarker for Parkinson Disease. (arXiv:1903.08226v1 [https://t.co/1uAOVrWCaz]) https://t.co/VWyUHxkeDW. 	1	0
medmon.semanticlab.net/doc/4720203168898364175/Gerry-Ward	Gerry Ward	Smell of skin could lead to early diagnosis for Parkinson's https://t.co/PWdZn5SyHU #scichat #Parkinsons. 	1	0
medmon.semanticlab.net/doc/4720190878957617387/Manon-Day	Manon Day	#DYK that w/ more frequent visits & a high sensitivity to timing & dosing of PD meds, ppl w/ #Parkinsons face greater risks in the #hospital. In fact studies show 3 of 4 ppl w/ #PD do not receive their meds on time when staying in the hospital. Read More https://t.co/DUtJKsJiuw https://t.co/4sPYoXvlqD. 	1	1
medmon.semanticlab.net/doc/4720171218242663825/EducateAshburton	Educate@Ashburton	Follow the link below to register for our next event #Parkinsons on Wednesday 10th April 2019. 	0	0
medmon.semanticlab.net/doc/4720163856739704130/Pedaling4Parkinson's	Pedaling4Parkinson's	Parkinson’s Makes Us Role Models |. Parkinson's News Today. #JoinP4P #P4PBikeRide #JoinTheFight #Parkinsons #Pedaling4Parkinsons #ParkinsonsDisease #Cycling4PD #CyclingColorado #Cycling https://t.co/pibsQMpMU5. 	0	0
medmon.semanticlab.net/doc/4720156472247746660/Dr-Claire-Garden	Dr Claire Garden	'Super-smeller' helps develop swab test for Parkinson's disease |. The Guardian What a fascinating piece of #neuroscience research! Great for #outreach and capturing the imagination in #STEMed https://t.co/OdsdT9KQOp. 	1	0
medmon.semanticlab.net/doc/4720114690841810098/Cyrus-Crook	Cyrus Crook	A Scottish woman who astonished doctors with her ability to detect Parkinson's disease through smell has helped scientists find what causes the odour https://t.co/skK4rPzeGq https://t.co/uGuYeca3uy. 	1	0
medmon.semanticlab.net/doc/4720112233673686718/Brenda-Jeaneen-Brown	Brenda Jeaneen Brown	7 Early Symptoms People With Parkinson's Disease Noticed First https://t.co/wzo5IrtC8t. 	1	1
medmon.semanticlab.net/doc/4720043406628478887/patrick-dawodu	patrick dawodu	BBC News - Parkinson's smell test explained by science. 	1	0
medmon.semanticlab.net/doc/4720034935693690899/Parkylife	Parkylife	Parkylife will be launched in London on World Parkinsons Day the 11. April 2019. Thanks to Matt Eagles for bringing me into this fantastic projekt worldwide. 	1	0
medmon.semanticlab.net/doc/4720034716124093808/Twheater	Twheater	'Super-smeller' helps develop swab test for Parkinson's disease https://t.co/S4M0jUFiS8. 	1	0
medmon.semanticlab.net/doc/4720034642731060792/Bernadette-Kaufmann	Bernadette Kaufmann	Hand tremors from Parkinson's can make using a mouse nearly impossible. SteadyMouse set out to solve this problem: https://t.co/RGwxk5fmNu https://t.co/9hoA56CO5F. 	1	0
medmon.semanticlab.net/doc/4720034546986613072/Naveed-Khan	Naveed Khan	Parkinson's smell test explained by science https://t.co/FZ8tALkYFo. 	1	0
medmon.semanticlab.net/doc/4720034329744621145/Maata-Tai-Rakena	Maata Tai-Rakena	Thanks DOC... Kangen Water helps to reduce oxidative stress and neurological damage ie MS, Parkinson's, Diabetic Neuropathy Fibromyalgia, Alzheimer's… scientific tests have been done with triple blind studies peer... 	1	0
medmon.semanticlab.net/doc/4720031028970736227/GC	GC	If #Bwfc go bust tomorrow do you think Phil Parkinson will still tuen up for training?! 	0	0
medmon.semanticlab.net/doc/4720031019242804427/Gary-Sharpe	Gary Sharpe	Social Engagement and Parkinson's Disease https://t.co/BYs73aqI3j #vlog. 	1	0
medmon.semanticlab.net/doc/4720029966009593477/Thinking-Autism	Thinking Autism	@and_kell Wonder if insurance would have refused to pay out for Parkinsons or diabetes or MS? This is why the '#autism is an identity, not a disability' paradigm is so damaging. #ASD needs to be recognised as a symptom of an underlying medical condition requiring investigation/treatment. 	1	0
medmon.semanticlab.net/doc/4720028940286145161/-	 	RT @HistoryToLearn: Photo by Norman Parkinson for US Vogue, 1968. 	0	0
medmon.semanticlab.net/doc/4720028790216336328/Nick-Higham	Nick Higham	"Loved sharing the sofa with you. ""The Fight"" looks brilliant. And shot in 12 days! With my Parkinson's it takes me 12 days to have a decent shave. "	1	1
medmon.semanticlab.net/doc/4720028596513442608/KOST-103.5	KOST 103.5	Man With Alzheimer's, Dementia & Parkinson's Dances With Granddaughter https://t.co/Cnk4DHnPxJ. 	1	1
medmon.semanticlab.net/doc/4720027402227401396/Carefree-Pete	Carefree Pete	RT @ForcesRadioBFBS: |. Ben Parkinson, patron for @pilgrimscharity, was told he would never walk again. Just look at him now. 	0	0
medmon.semanticlab.net/doc/4720025855421669474/MURRAY	MURRAY	RT @ForcesRadioBFBS: |. Ben Parkinson, patron for @pilgrimscharity, was told he would never walk again. Just look at him now. 	0	0
medmon.semanticlab.net/doc/4720025670895604775/OutThinkParkinsons	OutThinkParkinsons	Update on Parkinson's Recovery Strategy Video Diary https://t.co/fT7UJLfct1 https://t.co/Mz2pX6JC64 #wellbeing. 	1	0
medmon.semanticlab.net/doc/4720017992998168695/Proud2Resist!	Proud2Resist!	RT @guardian: Farage's Brexit march: the theatre of the absurd meets storm-hit Minion |. Hannah Jane Parkinson https://t.co/CeBosYBIj6. 	0	0
medmon.semanticlab.net/doc/4720004117464556006/BC-Healthcare	BC Healthcare	Three-year-old Paisley wanted to take her grandpa to a ball, but he has Alzheimer's and Parkinson's. So, her dad held grandpa up while she danced with him in a princess dress. 	1	1
medmon.semanticlab.net/doc/4719999181526516962/jack	jack	RT @ChocoHarveyMilk: May I ask you to send strength and positive energy to my dad? Bad day with #Parkinsons. 	1	1
medmon.semanticlab.net/doc/4719999175644931037/King's-Cultural-Community	King's Cultural Community	Exploring the future of dance for people living with Parkinson's this Thursday in London @Sadlers_Wells with @PeopleDancingUK @DanceConsortium. More at https://t.co/P0oXpBcEc3. 	1	0
medmon.semanticlab.net/doc/4719999168544578694/Carl-Douglas	Carl Douglas	RT @ForcesRadioBFBS: |. Ben Parkinson, patron for @pilgrimscharity, was told he would never walk again. Just look at him now. 	0	0
medmon.semanticlab.net/doc/4719994263612273627/Gary-Sharpe	Gary Sharpe	RT @DrGarySharpe: Building Aliveness with Parkinson's Disease https://t.co/1o8lkV7f1J #wellness. 	1	0
medmon.semanticlab.net/doc/4719972144910041565/debjani-ghosh	debjani ghosh	RT @kris_sg: There's Mounting Evidence That Parkinson's Starts in The Gut - Not The Brain https://t.co/75n7UyuFQr. 	1	0
medmon.semanticlab.net/doc/4719950067387684554/Gary-Sharpe	Gary Sharpe	Accessing Whole Body Movement in Parkinson's Disease with a Basketball https://t.co/BaKCkmzNSV #blog. 	1	0
medmon.semanticlab.net/doc/4719945111944672788/paul-2-Para	paul 2 Para	RT @ForcesRadioBFBS: |. Ben Parkinson, patron for @pilgrimscharity, was told he would never walk again. Just look at him now. 	0	0
medmon.semanticlab.net/doc/4719940218219706947/ANs	AᴍɪNᴏs	@Kimpembae @Medioslk Maybe because he hadn't played for 3 years or was already suffering from parkinson.. In the 60s (before the box ban) he was just the GOAT, no on could fuckin touch him and then when he came back and lost his heavyweight world champion title, he proved everyone wrong. 	1	1
medmon.semanticlab.net/doc/4719940195802446701/Gary-Sharpe	Gary Sharpe	Self-Doubt, Guilt, Inner Voices and Parkinson's Disease https://t.co/bujMqHWDlc #wellbeing. 	1	0
medmon.semanticlab.net/doc/4719928176256031807/RedAlert-ALLCAPS	RedAlert #ALLCAPS	If you’ve been recently diagnosed with #Parkinsons disease, you may be thinking “Now what?” @ParkinsonDotOrg may be able to help: https://t.co/Y8U9fKhdew. 	1	1
medmon.semanticlab.net/doc/4719910695204930850/Bolton-Wanderers-Fans	Bolton Wanderers Fans	Has Parkinson resigned yet? 	0	0
medmon.semanticlab.net/doc/4719832073524939900/Paramount360	Paramount360	Medical News Today: Manganese and Parkinson's: Mechanism may explain link https://t.co/HezBqjIh2q https://t.co/BSWFAm9RsQ. 	1	0
medmon.semanticlab.net/doc/4719817308228070685/Rozelle-Laha	Rozelle Laha	There are 8.4 lakh potential Parkinson's disease patients in India. But no injectable form of Apomorphine is available. If you've had a family member; seen the morning stiffness, the tremors, the difficulty in speaking, this story is for you @TheKenWeb https://t.co/n2f055Vckr. 	1	1
medmon.semanticlab.net/doc/4719777983186135198/of-Dice-and-Dragons	of Dice and Dragons	End-of-Week Parkinson (3/15/19): Ambush! - https://t.co/I50JG8xTml #rpgba. 	0	0
medmon.semanticlab.net/doc/4719768169730789001/ForJUNE--JUIN	ForJUNE  JUIN	1,000,000 views++. #เมื่อคืน 💫. EASON FIVE x THE PARKINSON. outube : ME RECORDS. seasonfiveband #theparkinson #merecordslabel #muzikmove https://t.co/4FvSn6i68G. 	0	0
medmon.semanticlab.net/doc/4719765723544672572/Kendall-Mendoza---waiting-to-meet-Taylor-Swift	Kendall Mendoza - waiting to meet Taylor Swift	GRAB THE TISSUES: 3-year-old Paisley wanted to take her grandpa to a ball, but he has Alzheimer's, dementia and Parkinson's. So her dad, a Marine veteran, held grandpa up while she danced with him in a princess dress 💖https://t.co/0W1xwKiQFQ https://t.co/ACb9VrbDhI. 	1	1
medmon.semanticlab.net/doc/4719756013312128687/Charlie-N.	Charlie N.	Anyone that has or knows someone that has Parkinsons Disease and needs advice, guidance, or someone to talk to, I am always available 24/7. Please tell them to follow me or request me and… https://t.co/MmeS9B1LpY. 	1	0
medmon.semanticlab.net/doc/4719748516466474836/ehb	ehb⭐	So #Amantadine (the drug I've been given to try manage fatigue) is also used in treatment of Parkinson's and works by (somehow) increasing the effect of dopamine - I have a movement disorder, hypothesized to have dopamine causality, I wonder what will happen? 	1	1
medmon.semanticlab.net/doc/4719719272144388915/Cortex-Club	Cortex Club	RT @OxNeuro: Picturing #Parkinson's at the Ashmolean tomorrow. Part of our programme for #BAW2019 https://t.co/DcVmTIVLfH https://t.co/V9…. 	0	0
medmon.semanticlab.net/doc/4719712411933896967/PT-News	PT News	Compleat Rehab offers unique Parkinson's Treatment - Mint Hill Times via https://t.co/ywzLYrGnsp #PhysicalTherapy. 	1	0
medmon.semanticlab.net/doc/4719699804937020051/Sue-Choi	Sue Choi	If you are seeking a natural modality to help manage Parkinson's symptoms, craniosacral therapy might help. 	1	0
medmon.semanticlab.net/doc/4719692131270649715/JENNICE-DOBROSZCZYK	JENNICE DOBROSZCZYK	"RT @GMOFreeCanada: Study: Potential Link Between Parkinson's Disease And A Widely-Used Herbicide. ""New research... "	1	0
medmon.semanticlab.net/doc/4719676413657975340/Sindhu	Sindhu	PDMDS Session 35. SESSION: Motor Symptoms, dyskinesia, On/Off periods. in Parkinson's disease. Interested patients can join our FREE SESSIONS. 	1	0
medmon.semanticlab.net/doc/4718081974183907978/Javier-Daz-Nido	Javier Díaz-Nido	"New Review: ""Emerging therapies in Parkinson disease — repurposed drugs and new approaches"" by Ahmad Elkouzi, @MichaelOkun and colleagues #newfromnrneurology https://t.co/Rrgth2WsNN https://t.co/ILvstJOddZ. "	1	0
medmon.semanticlab.net/doc/4718059854468708233/Pam-Jackson	Pam Jackson	Advanced Parkinson's Disease https://t.co/8whjE6o0md. 	1	0
medmon.semanticlab.net/doc/4718047566535615766/Gary-Sharpe	Gary Sharpe	Vocalization and Grunting in Movement Therapy. GoFundMe: https://t.co/zPlDtUfscZ https://t.co/CMVTZfNze6 #parkinsons. 	1	0
medmon.semanticlab.net/doc/4718025446995422705/British-Rowing	British Rowing	"""I love feeling like I am helping to make something happen"" Kate Parkinson, Warwick BC. Find out how rewarding #volunteering in rowing can be at: https://t.co/cnwNILI743 https://t.co/M65xMY1yGe. "	0	0
medmon.semanticlab.net/doc/4718013158604610560/sabrina-richards	sabrina richards	#InternationalWomensDay2019 Introducing our Founder,visionary and Board Trustee Christine Parkinson on the left and our Chair of the board of Trustees @JacynthIvey on the right. 	0	0
medmon.semanticlab.net/doc/4717900105275694157/Gary-Sharpe	Gary Sharpe	RT @DrGarySharpe: Tennis as Therapy for Parkinson's Disease https://t.co/vWmMZJtkvQ #vlogger. 	1	0
medmon.semanticlab.net/doc/4717806712501690737/Ingentium	Ingentium	RT @Ingentium_PD: Parkinson's treatment delivers a power-up to brain cell 'batteries' https://t.co/4lPSBWXKS2 https://t.co/bWK5XCD39a. 	1	0
medmon.semanticlab.net/doc/4717737897967939663/chris-acomb	chris acomb	Today in #parkinsons clinic - our pharmacist sorted out the motor fluctuations, our physio sorted out the falls and freezing, our OT diagnosed the cognitive issues and our nurses did EVERYTHING! Multidisciplinary working at its finest. @ParkinsonsEN @ParkinsonsUK @SouthTees https://t.co/AcoJiLUGNp. 	1	0
medmon.semanticlab.net/doc/4717686285784517460/PCCCCCCommissioning	PCC&CCCCommissioning	#WearingOff and #dyskinesia are movement problems that can affect people with #Parkinsons. We spoke to consultant physician Richard Walker to get his top tips on managing them. Take a look and share your tips and advice https://t.co/nHLo3nslUr. 	1	0
medmon.semanticlab.net/doc/4717666624836501280/Scott-Filler	Scott Filler	Medical News Today: Parkinson's: Study reveals how cancer drug reduces toxic protein in brain https://t.co/y60NRrE81i. 	1	0
